pop1,pop2,fst,distance_km,tave_prism_diff,ppt_spring_prism_diff
MC,AZ,0.151413856,411.1111269,0.260171919,23.415
BB,BA,0.06504862,19.7506591,0.532951289,0.35387931
BC,BA,0.018939844,6.2584648,0.778223496,1.70034483
BD,BA,0.027199249,20.70182127,1.013753582,5.42663793
BE,BA,0.109332158,399.3831331,0.169627507,6.51560345
BF,BA,0.120614617,288.1830288,1.194269341,22.80086207
BG,BA,0.141752046,449.1218039,0.334670487,15.48051724
BH,BA,0.126843327,425.0865882,0.840974212,10.54336207
BI,BA,0.075185641,225.4717671,0.948137536,9.26172414
BK,BA,0.035580276,336.8250683,1.132378224,8.74577586
BM,BA,0.038226076,44.26466869,0.350143267,4.10146552
BN,BA,0.042293712,37.73843581,0.406590258,3.7099138
BO,BA,0.063496585,87.05145194,1.721489971,12.13836207
BR,BA,0.027818899,35.15833461,0.964469914,4.38206897
CH,BA,0.060809568,307.3606876,2.045272206,11.17689655
H2,BA,0.171418264,516.1082082,1.573925502,12.21155173
LG,BA,0.14991438,629.910807,3.530659026,11.61094828
MC,BA,0.175046087,511.0812091,2.009455587,11.03155173
BC,BB,0.044303312,20.36763618,0.245272207,1.34646552
BD,BB,0.048419792,35.20232385,1.546704871,5.07275862
BE,BB,0.127868952,419.0937883,0.363323782,6.16172414
BF,BB,0.141201467,307.9329978,1.72722063,22.44698276
BG,BB,0.149277431,468.83184,0.198280802,15.12663793
BH,BB,0.14666064,444.7076576,1.373925501,10.18948276
BI,BB,0.103655746,243.8676698,1.481088825,8.90784483
BK,BB,0.047558629,356.2504532,1.665329513,8.39189655
BM,BB,0.059137512,52.67336519,0.883094556,4.45534483
BN,BB,0.064068033,48.69254765,0.939541547,4.06379311
BO,BB,0.083203528,102.544634,2.25444126,11.78448276
BR,BB,0.058430716,50.33758619,1.497421203,4.73594828
CH,BB,0.072101649,323.9248931,2.578223495,10.82301724
H2,BB,0.185355851,523.6700065,2.106876791,12.56543104
LG,BB,0.166353338,644.8007018,4.063610315,11.96482759
MC,BB,0.186725671,518.0384881,2.542406876,11.38543104
BD,BC,0.025377673,26.40751238,1.791977078,3.7262931
BE,BC,0.098458968,400.2025712,0.608595989,4.81525862
BF,BC,0.112452313,288.5616437,1.972492837,21.10051724
BG,BC,0.126272347,449.9379582,0.443553009,13.78017241
BH,BC,0.112917756,426.2243332,1.619197708,8.84301724
BI,BC,0.071067115,228.2440657,1.726361032,7.56137931
